TV Series,Genre,No of seasons,Date of First Release,Director,Actor,Shoot location,Country
Suits,Legal Drama,9,23rd June 2011,Kevin Bray,Meghan ,New York,US
Suits,Legal Drama,9,23rd June 2011,Kevin Bray,Garbriel Macht,New York,US
Suits,Legal Drama,9,23rd June 2011,Kevin Bray,Patrick Adams,New York,US
Suits,Legal Drama,9,23rd June 2011,Kevin Bray,Gina Torres,Illinois,US
Suits,Legal Drama,9,23rd June 2011,Kevin Bray,Amanda Schull,Illinois,US
Suits,Legal Drama,9,23rd June 2011,Kevin Bray,Sarah Rafferty,New York,US
The Office,Office humor,8,24th March 2005,Greg Daniels,Jenna Fischer,BedfordShire,UK
The Office,Office humor,8,24th March 2005,Greg Daniels,John Krasinski,BedfordShire,UK
The Office,Office humor,8,24th March 2005,Greg Daniels,Angela Kinsey,BedfordShire,UK
The Office,Office humor,8,24th March 2005,Greg Daniels,Greg Daniels,BedfordShire,UK